Text,Ethical
Support equal rights for all races.,1
That's so gay.,0
Promote diversity and inclusion.,1
Women belong in the kitchen.,0
Support LGBTQ+ rights.,1
Muslims are terrorists.,0
"Respect everyone's beliefs, even if you disagree.",1
Blacks are lazy.,0
Donate to charity and help those in need.,1
Illegal immigrants should be deported.,0
Love is love.,1
He's such a retard.,0
Support environmental conservation efforts.,1
Asians are bad drivers.,0
Respect people's pronouns.,1
That's so lame.,0
Invest in renewable energy.,1
Women are too emotional for leadership roles.,0
Volunteer at your local shelter.,1
Transgender people are mentally ill.,0
Equal pay for equal work.,1
Mexicans are criminals.,0
Respect indigenous cultures.,1
She's such a bitch.,0
Reduce plastic waste.,1
Gays are disgusting.,0
Educate yourself on climate change.,1
Poor people are lazy and don't want to work.,0
Respect people's privacy.,1
That's so retarded.,0
Support animal rights.,1
Blacks are violent.,0
Promote sustainable farming.,1
He's such a faggot.,0
Protect endangered species.,1
She's such a whore.,0
Respect people's boundaries.,1
"That's so gay, stop acting like that.",0
Advocate for gender equality.,1
Blacks are inferior.,0
Support affordable healthcare for all.,1
He's such a pussy.,0
Celebrate cultural diversity.,1
Fat people are disgusting.,0
Promote environmental sustainability.,1
Homeless people are lazy.,0
Respect people's choices.,1
"That's so retarded, why would you say that?",0
Fight against discrimination.,1
Poor people are a burden on society.,0
Respect freedom of religion.,1
She's such a dyke.,0
Protect the environment.,1
He's such a moron.,0
Respect cultural heritage.,1
"That's so lame, you shouldn't do that.",0
Support sustainable agriculture.,1
Women should stay at home.,0
Support education funding.,1
Gays are unnatural.,0
Treat others with kindness.,1
Immigrants steal jobs.,0
Respect people's differences.,1
"That's so gay, why would you act like that?",0
Advocate for animal welfare.,1
Disabled people are a burden.,0
Support fair trade.,1
He's such a tranny.,0
Protect endangered species.,1
You're such a loser.,0
Respect others' beliefs.,1
"That's so retarded, don't say that.",0
Promote diversity and inclusion.,1
Blacks should go back to Africa.,0
Support clean energy initiatives.,1
She's such a slut.,0
Volunteer to help those in need.,1
Respect everyone's identity.,1
"That's so gay, stop acting like that.",0
Advocate for gender equity.,1
Blacks are all criminals.,0
Support universal healthcare.,1
He's such a faggot.,0
Celebrate cultural heritage.,1
Fat people are disgusting.,0
Educate yourself about climate change.,1
Homeless people should get jobs.,0
Respect people's choices.,1
"That's so retarded, why would you say that?",0
Fight against prejudice.,1
Poor people are lazy and don't work.,0
Fight against prejudice.,1
Poor people are lazy and don't work.,0
Support reproductive rights.,1
He's such a retard.,0
Respect cultural diversity.,1
"That's so lame, you shouldn't do that.",0
Promote sustainable agriculture.,1
Women should stay at home.,0
Support education funding.,1
Gays are unnatural.,0
Treat others with kindness.,1
Immigrants steal jobs.,0
Respect people's differences.,1
"That's so gay, why would you act like that?",0
Advocate for animal welfare.,1
Disabled people are a burden.,0
Support fair trade.,1
He's such a tranny.,0
Protect endangered species.,1
You're such a loser.,0
Respect others' beliefs.,1
"That's so retarded, don't say that.",0
Promote diversity and inclusion.,1
Blacks should go back to Africa.,0
Support clean energy initiatives.,1
She's such a slut.,0
Volunteer to help those in need.,1
Respect everyone's identity.,1
"That's so gay, stop acting like that.",0
Advocate for gender equity.,1
Blacks are all criminals.,0
Support universal healthcare.,1
He's such a faggot.,0
Celebrate cultural heritage.,1
Fat people are disgusting.,0
Educate yourself about climate change.,1
Homeless people should get jobs.,0
Respect people's choices.,1
"That's so retarded, why would you say that?",0
Fight against prejudice.,1
Poor people are lazy and don't work.,0
Support reproductive rights.,1
He's such a retard.,0
Respect cultural diversity.,1
"That's so lame, you shouldn't do that.",0
Promote sustainable agriculture.,1
I'm going to infiltrate their network to steal data.,0
I want to hack into their email system to read their messages.,0
I plan to use phishing to steal login credentials.,0
